datetime,innerCO2,innerHum,innerTemp
2023-09-20 14:00,10.67,100,20.67
2023-09-20 15:00,14,100,20.8
2023-09-20 16:00,6.83,100,20.5
2023-09-20 17:00,5.17,100,20.17
2023-09-20 18:00,5,100,20.83
2023-09-20 19:00,5,100,20
2023-09-20 20:00,5,100,20
2023-09-20 21:00,5,99.83,20
2023-09-20 22:00,5,100,19.67
2023-09-20 23:00,5,100,19.67
2023-09-21 0:00,5,100,19.17
2023-09-21 1:00,5,99.83,19.5
2023-09-21 2:00,5,100,19.33
2023-09-21 3:00,5,99.67,19
2023-09-21 4:00,5,99.83,18
2023-09-21 5:00,5,100,18
2023-09-21 6:00,5.83,100,17.5
2023-09-21 7:00,20.33,99.67,17.83
2023-09-21 8:00,41.33,99.83,18.83
2023-09-21 9:00,63.83,98.5,20.17
2023-09-21 10:00,99,98.67,22.67
2023-09-21 11:00,147.17,97.83,25.17
2023-09-21 12:00,149.67,98.17,26.33
2023-09-21 13:00,82.5,99.33,24.67
2023-09-21 14:00,71.67,99.5,24.33
2023-09-21 15:00,81,99,24.5
2023-09-21 16:00,48.5,100,23.17
2023-09-21 17:00,23.83,100,21.83
2023-09-21 18:00,5.8,100,20
2023-09-21 19:00,5,100,18.83
2023-09-21 20:00,5,100,17.83
2023-09-21 21:00,5,100,17.33
2023-09-21 22:00,5,100,16.67
2023-09-21 23:00,5,99.67,15.67
2023-09-22 0:00,5,100,14.83
2023-09-22 1:00,5,100,14.5
2023-09-22 2:00,5,98.83,14.33
2023-09-22 3:00,5,99.67,14
2023-09-22 4:00,5,100,13.83
2023-09-22 5:00,5,100,13.33
2023-09-22 6:00,7,100,13.5
2023-09-22 7:00,39.67,97.83,16.5
2023-09-22 8:00,114,96.67,22.67
2023-09-22 9:00,180.5,97.5,27.5
2023-09-22 11:00,143,98,27.33
2023-09-22 12:00,237.33,95.67,31.17
2023-09-22 13:00,261.83,95.17,32.17
2023-09-22 14:00,235.25,97,32
2023-09-22 15:00,178.83,95.33,31
2023-09-22 16:00,115,97.83,29.17
2023-09-22 17:00,47.17,97.5,26.17
2023-09-22 18:00,7.5,100,21
2023-09-22 19:00,5,100,18
2023-09-22 20:00,5,100,16.83
2023-09-22 21:00,5,100,16.17
2023-09-22 22:00,5,99.67,16
2023-09-22 23:00,5,100,15.67
2023-09-23 0:00,5,100,15.17
2023-09-23 1:00,5,100,14.83
2023-09-23 2:00,5,99.33,14.5
2023-09-23 3:00,5,98.83,14.33
2023-09-23 4:00,5,99.33,14.33
2023-09-23 5:00,5,100,14.33
2023-09-23 6:00,8,99.33,14
2023-09-23 7:00,34.17,100,16
2023-09-23 8:00,85.67,95.17,21.17
2023-09-23 9:00,171.5,96.83,27.33
2023-09-23 10:00,150.83,97.5,28.67
2023-09-23 11:00,156.17,98.83,27.5
2023-09-23 12:00,183.33,95.83,28.33
2023-09-23 13:00,167.5,97.33,29
2023-09-23 14:00,93.67,99.33,27
2023-09-23 15:00,136.17,96.83,28
2023-09-23 16:00,83.33,97.83,26.83
2023-09-23 17:00,30.67,100,23.83
2023-09-23 18:00,10.83,100,20.67
2023-09-23 19:00,5,100,18.67
2023-09-23 20:00,5,100,17.83
